DOI,Link
10.1021/acs.analchem.5b01212,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936797642&partnerID=40&md5=59875718e497475e820edd3220c261a4"
10.1021/acs.est.5b01176,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936970675&partnerID=40&md5=42d7bcaeb8d5e1065eacdf7c5c99c42e"
10.1021/acssuschemeng.5b00304,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936762814&partnerID=40&md5=ef092f364cf11b1b9d9e38cffd3a107b"
10.1016/j.chemolab.2015.04.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928631129&partnerID=40&md5=3c921bc18417104dc6f8b3db7c7318c2"
10.1021/acs.joc.5b00990,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942465444&partnerID=40&md5=d3daea729908571314b92c5f60185114"
10.1039/c5mb00242g,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934929053&partnerID=40&md5=5e21f6815ae425a3a84266c44e7a513b"
10.1039/c5gc00894h,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936804328&partnerID=40&md5=b904808f383c0a5505577fdd98c26890"
10.1016/j.neuro.2015.05.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930945887&partnerID=40&md5=c3424dd8a5cb41192d2aee5c3e2c7608"
10.1039/c5tx00045a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934967383&partnerID=40&md5=ec77ac9ebdd7c833548dda0b1143f336"
10.1016/j.envint.2015.03.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927643921&partnerID=40&md5=234dc095b93d227f68b25225bacbcf97"
10.1016/j.watres.2015.04.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927740295&partnerID=40&md5=cba80b0b45644bbd51cc66ff1ebf30d3"
10.1039/c4tx00217b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934934284&partnerID=40&md5=d6d88187fe80c01401d4e45a7ab44b43"
10.1016/j.yrtph.2015.04.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928317200&partnerID=40&md5=52ab15fe26904ce710356526577d386f"
